종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"034020","두산에너빌리티","1307743","2987842","1680099","25220403350","57737958150","32517554800"
"035250","강원랜드","486517","1635722","1149205","13397252450","45123911650","31726659200"
"316140","우리금융지주","1490123","3077691","1587568","23239111100","47894578400","24655467300"
"096770","SK이노베이션","64708","175043","110335","13193227000","35728164000","22534937000"
"000270","기아","497292","730286","232994","42944318400","63100281100","20155962700"
"003550","LG","108468","371164","262696","7992046700","27305425700","19313379000"
"017670","SK텔레콤","309964","613715","303751","18916782800","37533463000","18616680200"
"036570","엔씨소프트","99755","139577","39822","43828154500","61429351500","17601197000"
"329180","현대중공업","165546","300241","134695","20612267000","37365536000","16753269000"
"028670","팬오션","2068335","4173344","2105009","16174590090","32696871620","16522281530"
"373220","LG에너지솔루션","24265","60895","36630","9634800500","24169256000","14534455500"
"006400","삼성SDI","91301","115904","24603","53295379000","67694683000","14399304000"
"010950","S-Oil","81500","186228","104728","9014751000","20605245000","11590494000"
"033780","KT&G","184258","318551","134293","15304047600","26466272800","11162225200"
"055550","신한지주","373192","622576","249384","15692918650","26188834850","10495916200"
"000230","일동홀딩스","280354","490565","210211","12862877200","22499693350","9636816150"
"009540","한국조선해양","59914","161819","101905","5442311300","14703211300","9260900000"
"020150","일진머티리얼즈","53307","165462","112155","4218525000","13078221200","8859696200"
"361610","SK아이이테크놀로지","45882","120046","74164","5307627000","13834927000","8527300000"
"011210","현대위아","19751","138315","118564","1299746900","9116374500","7816627600"
"030200","KT","528435","730217","201782","19631414900","27168609250","7537194350"
"009150","삼성전기","63809","99897","36088","10153907500","15895265500","5741358000"
"352820","하이브","76370","102162","25792","16379551000","21842792000","5463241000"
"000720","현대건설","56072","176262","120190","2364279850","7426159700","5061879850"
"093370","후성","173639","426739","253100","3277872550","8148135450","4870262900"
"035720","카카오","301041","358425","57384","24461277400","29171868500","4710591100"
"002900","TYM","5490753","6741616","1250863","19025907445","23452638105","4426730660"
"204320","만도","56283","133620","77337","3065379700","7248111900","4182732200"
"004990","롯데지주","31112","151284","120172","1072317900","5202705050","4130387150"
"267250","HD현대","41128","111306","70178","2416731900","6538083600","4121351700"
"023530","롯데쇼핑","29320","69994","40674","2964035500","7079049700","4115014200"
"028050","삼성엔지니어링","284917","441238","156321","7459966050","11559685200","4099719150"
"195870","해성디에스","57945","113183","55238","4033708900","7853821600","3820112700"
"086790","하나금융지주","289426","372063","82637","13164281250","16957760700","3793479450"
"271940","일진하이솔루스","22096","107932","85836","896694050","4378857250","3482163200"
"326030","SK바이오팜","74275","114910","40635","6331487900","9770461700","3438973800"
"103590","일진전기","948172","1497455","549283","5849038430","9158438990","3309400560"
"011170","롯데케미칼","9322","25940","16618","1780929000","4953999000","3173070000"
"005490","POSCO홀딩스","106676","117270","10594","29695777500","32680561000","2984783500"
"249420","일동제약","647909","704656","56747","30389880600","33031863950","2641983350"
"066570","LG전자","184599","209351","24752","19936022500","22569709500","2633687000"
"005380","현대차","186702","200912","14210","34675967500","37290498500","2614531000"
"102280","쌍방울","17572279","21628328","4056049","12021901036","14584552570","2562651534"
"032830","삼성생명","146906","186454","39548","9552050000","12113871300","2561821300"
"004830","덕성","123206","452351","329145","967595510","3488965620","2521370110"
"018880","한온시스템","231878","456388","224510","2603136700","5105221050","2502084350"
"069960","현대백화점","11638","40351","28713","909481000","3153665700","2244184700"
"139480","이마트","61085","79451","18366","7454371500","9694977000","2240605500"
"024110","기업은행","322234","523581","201347","3588501300","5820815900","2232314600"
"117580","대성에너지","219213","381801","162588","2981264850","5147950150","2166685300"
"036420","콘텐트리중앙","30637","82094","51457","1284112800","3361347350","2077234550"
"069260","TKG휴켐스","30310","116684","86374","700963800","2713895000","2012931200"
"006280","녹십자","5681","16749","11068","1024285500","3019572500","1995287000"
"086280","현대글로비스","45912","55249","9337","9596380500","11563484500","1967104000"
"000150","두산","14213","38345","24132","1159048100","3121240600","1962192500"
"000080","하이트진로","40669","94122","53453","1432095700","3316441850","1884346150"
"259960","크래프톤","177199","184464","7265","44980218000","46835513500","1855295500"
"402340","SK스퀘어","117357","159334","41977","5192742550","7042749750","1850007200"
"298050","효성첨단소재","1368","5376","4008","622205000","2448596500","1826391500"
