종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"000660","SK하이닉스","1362588","1639285","276697","167261598500","201419220500","34157622000"
"005490","POSCO","130640","242089","111449","36940788500","68229136500","31288348000"
"051910","LG화학","203799","252663","48864","114320347500","141721250500","27400903000"
"015760","한국전력","1008630","2117219","1108589","23367413850","48972857850","25605444000"
"035420","NAVER","259112","338182","79070","82025883500","106993112000","24967228500"
"006400","삼성SDI","109766","151296","41530","59839333000","82469030000","22629697000"
"011200","HMM","1465518","2107701","642183","42746374100","61368489150","18622115050"
"402340","SK스퀘어","7171539","7494601","323062","400515701500","418569425500","18053724000"
"105560","KB금융","1301800","1597283","295483","77178573368","94693216668","17514643300"
"012450","한화에어로스페이스","366248","685123","318875","19203834300","36045636200","16841801900"
"068270","셀트리온","92586","197311","104725","14598001500","31141334500","16543333000"
"047810","한국항공우주","339371","767871","428500","12495697300","28313016700","15817319400"
"000270","기아","746623","947608","200985","54643427100","69314884000","14671456900"
"259960","크래프톤","52388","96874","44486","15126047500","28074045000","12947997500"
"302440","SK바이오사이언스","82201","165045","82844","11909983500","23898784500","11988801000"
"377300","카카오페이","93831","160398","66567","13969894500","23885809000","9915914500"
"137310","에스디바이오센서","174225","353333","179108","9382016300","19053727300","9671711000"
"006360","GS건설","140617","368746","228129","6014287800","15494674250","9480386450"
"010130","고려아연","29848","44966","15118","16131188000","24313101000","8181913000"
"207940","삼성바이오로직스","18376","28520","10144","14123365000","22016402000","7893037000"
"030200","KT","68092","301917","233825","2170439300","9624351500","7453912200"
"011070","LG이노텍","109017","130372","21355","35414609000","42396891000","6982282000"
"028260","삼성물산","104493","164416","59923","11474028500","18028641500","6554613000"
"000100","유한양행","50451","155749","105298","2918972200","8939859500","6020887300"
"017670","SK텔레콤","389282","492555","103273","21205605100","26825020300","5619415200"
"316140","우리금융지주","3771288","4161075","389787","53735364600","59296565400","5561200800"
"028670","팬오션","1293769","2134952","841183","8410623320","13730560280","5319936960"
"352820","하이브","71506","89764","18258","20578883500","25839173000","5260289500"
"036460","한국가스공사","339893","467546","127653","13641710200","18811718750","5170008550"
"272210","한화시스템","186544","514322","327778","2909811750","8043381400","5133569650"
"028050","삼성엔지니어링","365426","575620","210194","8423383700","13267151050","4843767350"
"005935","삼성전자우","960536","1029038","68502","63444326100","67978929700","4534603600"
"020150","일진머티리얼즈","63965","114030","50065","5765702300","10274912500","4509210200"
"001440","대한전선","3610124","6273173","2663049","5696700675","9866309275","4169608600"
"086280","현대글로비스","32959","55656","22697","5754443000","9696575500","3942132500"
"004020","현대제철","227022","326594","99572","8967582800","12894587100","3927004300"
"011780","금호석유","31614","54947","23333","5027297000","8741119000","3713822000"
"383220","F&F","6548","10660","4112","5707303000","9363576000","3656273000"
"047050","포스코인터내셔널","111752","291080","179328","2270514700","5925301600","3654786900"
"097950","CJ제일제당","34132","43457","9325","12820297000","16284831500","3464534500"
"105840","우진","1457844","1817480","359636","14115946670","17506271320","3390324650"
"086790","하나금융지주","1256108","1322759","66651","60963667300","64204682650","3241015350"
"066570","LG전자","277481","302135","24654","34076100000","37177295000","3101195000"
"336260","두산퓨얼셀","195112","275192","80080","7534809900","10599720350","3064910450"
"194370","제이에스코퍼레이션","55512","171339","115827","1469954200","4513147550","3043193350"
"128940","한미약품","10595","21897","11302","2761661000","5718011000","2956350000"
"011000","진원생명과학","27366","232116","204750","394967450","3340399850","2945432400"
"003000","부광약품","591536","824406","232870","7313091150","10157711850","2844620700"
"010950","S-Oil","195131","228811","33680","16433534200","19272095100","2838560900"
"000810","삼성화재","51506","66051","14545","9787283500","12555912500","2768629000"
"055550","신한지주","1516049","1581563","65514","58868123300","61447025350","2578902050"
"001060","JW중외제약","136263","239755","103492","3415903350","5927964400","2512061050"
"005830","DB손해보험","213881","253395","39514","13145434000","15569587200","2424153200"
"285130","SK케미칼","25769","45322","19553","3200102000","5621758000","2421656000"
"021240","코웨이","139113","172741","33628","9869385100","12268226600","2398841500"
"375500","DL이앤씨","53660","71664","18004","6908550000","9187812000","2279262000"
"000720","현대건설","187742","240106","52364","8096861150","10344744000","2247882850"
"009150","삼성전기","115387","128485","13098","18962615000","21192642000","2230027000"
"011170","롯데케미칼","34719","44215","9496","7595861000","9678509500","2082648500"
"010140","삼성중공업","2833303","3189903","356600","16445075730","18489959660","2044883930"
"326030","SK바이오팜","65699","89826","24127","5506390000","7530604200","2024214200"
"003550","LG","164207","191148","26941","12306604700","14311375800","2004771100"
"003490","대한항공","313529","381453","67924","9133558600","11123917150","1990358550"
"088980","맥쿼리인프라","83403","224764","141361","1141395050","3073363850","1931968800"
"004370","농심","7462","13728","6266","2292400000","4210440000","1918040000"
"024110","기업은행","777531","953345","175814","8277944050","10136922150","1858978100"
"192820","코스맥스","19345","40366","21021","1652786800","3451958400","1799171600"
"001230","동국제강","251098","358793","107695","4108317400","5875039550","1766722150"
"071050","한국금융지주","48717","71031","22314","3828722500","5585842800","1757120300"
"012330","현대모비스","149151","156539","7388","33108234500","34804557500","1696323000"
"005387","현대차2우B","71192","90592","19400","6221908600","7915345900","1693437300"
"161390","한국타이어앤테크놀로지","506440","545143","38703","17718484250","19071708400","1353224150"
"018260","삼성에스디에스","36198","45808","9610","5054024500","6396513500","1342489000"
"039490","키움증권","18297","31561","13264","1827347100","3165101000","1337753900"
"017800","현대엘리베이","13880","49241","35361","521572950","1845929550","1324356600"
"002790","아모레G","118551","145587","27036","5743614200","7065764000","1322149800"
"069620","대웅제약","11881","19720","7839","1981129000","3289895500","1308766500"
"036570","엔씨소프트","304442","306487","2045","134421505500","135491132000","1069626500"
"005090","SGC에너지","12466","31019","18553","688814100","1721640400","1032826300"
"004170","신세계","20006","24008","4002","5216208000","6247750500","1031542500"
"016360","삼성증권","274812","299204","24392","11602706650","12633085300","1030378650"
"000490","대동","53719","133353","79634","643877700","1601921350","958043650"
"092220","KEC","169039","495579","326540","493169485","1449296970","956127485"
"039130","하나투어","12744","24500","11756","988840200","1909359100","920518900"
"006260","LS","10874","29866","18992","526810000","1446812500","920002500"
"079550","LIG넥스원","186883","199161","12278","12649165600","13499954600","850789000"
"042670","현대두산인프라코어","771827","890470","118643","5272140680","6101250940","829110260"
"329180","현대중공업","31697","39199","7502","3483592000","4303532000","819940000"
"091810","티웨이항공","79074","313069","233995","275827275","1094323305","818496030"
"139130","DGB금융지주","82569","167255","84686","763392640","1556971920","793579280"
"105630","한세실업","77297","112378","35081","1728174350","2511406500","783232150"
