종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","1435383","1959084","523701","97385486300","132885429000","35499942700"
"006400","삼성SDI","49866","102342","52476","30941871000","63445398000","32503527000"
"000270","기아","166230","425950","259720","13868221700","35531143700","21662922000"
"034220","LG디스플레이","1120442","1955823","835381","19198909300","33551746450","14352837150"
"377300","카카오페이","73012","183826","110814","7916231500","19999680000","12083448500"
"017670","SK텔레콤","100098","302907","202809","5748136900","17414454900","11666318000"
"002900","TYM","5029253","8759050","3729797","14732764920","26043339215","11310574295"
"105560","KB금융","232555","422002","189447","13668883600","24808929300","11140045700"
"005300","롯데칠성","24530","71471","46941","4967348500","14453784500","9486436000"
"012450","한화에어로스페이스","72378","237147","164769","4011767000","13220684400","9208917400"
"035720","카카오","418520","517401","98881","36892820500","45713775000","8820954500"
"329180","현대중공업","13630","76433","62803","1906140000","10585859000","8679719000"
"068270","셀트리온","37950","87304","49354","6587407000","15156826000","8569419000"
"096770","SK이노베이션","65466","106191","40725","13342108000","21629713000","8287605000"
"000210","DL","62949","178233","115284","4084803800","11616583200","7531779400"
"030200","KT","71866","264567","192701","2535739350","9330724950","6794985600"
"047810","한국항공우주","255979","396878","140899","12000320900","18682262100","6681941200"
"034730","SK","30176","54921","24745","7962363000","14447995000","6485632000"
"086280","현대글로비스","34742","63277","28535","7148722500","13007151500","5858429000"
"316140","우리금융지주","735241","1112322","377081","11165670650","16853549450","5687878800"
"001450","현대해상","149161","325741","176580","4649378300","10164022050","5514643750"
"028050","삼성엔지니어링","231516","437154","205638","6054014000","11422881000","5368867000"
"033780","KT&G","43078","107220","64142","3558485700","8857576600","5299090900"
"361610","SK아이이테크놀로지","31373","72391","41018","3931435000","9085109500","5153674500"
"003670","포스코케미칼","58324","96365","38041","7810275000","12921018000","5110743000"
"001120","LX인터내셔널","73358","200751","127393","2890564300","7917220450","5026656150"
"003490","대한항공","150477","310327","159850","4512669550","9311273600","4798604050"
"207940","삼성바이오로직스","11737","17375","5638","9835531000","14548801000","4713270000"
"004170","신세계","4412","22153","17741","1085690500","5448899500","4363209000"
"079550","LIG넥스원","81246","130486","49240","6980959100","11254985500","4274026400"
"000490","대동","1117984","1350217","232233","20060462050","24111065200","4050603150"
"117580","대성에너지","605584","830461","224877","10725999450","14655532500","3929533050"
"002460","화성산업","50321","192802","142481","1179426700","4462450900","3283024200"
"003550","LG","23657","67888","44231","1744074000","5007890800","3263816800"
"402340","SK스퀘어","92785","154554","61769","4784665600","7988186300","3203520700"
"009150","삼성전기","104992","123565","18573","17562493500","20648919500","3086426000"
"032640","LG유플러스","129877","348545","218668","1812219550","4864053400","3051833850"
"353200","대덕전자","119433","214188","94755","3782737550","6778875900","2996138350"
"251270","넷마블","20039","51463","31424","1867746800","4798070300","2930323500"
"012330","현대모비스","51088","65128","14040","10569518500","13477540000","2908021500"
"267260","현대일렉트릭","41201","158489","117288","987248550","3802484400","2815235850"
"248070","솔루엠","23322","132523","109201","594043600","3373781700","2779738100"
