종목코드,종목명,시작일 기준가,종료일 종가,대비,등락률,거래량,거래대금
"060310","3S","2885","2900","15","0.52","13176828","39297369035"
"095570","AJ네트웍스","6520","7860","1340","20.55","2253645","17059507790"
"006840","AK홀딩스","16250","16350","100","0.62","263837","4263082800"
"054620","APS홀딩스","8190","10600","2410","29.43","1935756","18931270460"
"265520","AP시스템","16900","18600","1700","10.06","1532256","26803488750"
"211270","AP위성","11500","11800","300","2.61","6621392","79371739150"
"027410","BGF","4170","4315","145","3.48","2868571","12021720760"
"282330","BGF리테일","189500","173000","-16500","-8.71","807124","146242655500"
"032790","BNGT","4075","4075","0","0.00","0","0"
"138930","BNK금융지주","6630","6820","190","2.87","21544878","142630476616"
"001460","BYC","404500","416000","11500","2.84","2064","853853000"
"001465","BYC우","157000","156000","-1000","-0.64","1365","212689500"
"013720","CBI","1365","1955","590","43.22","50321509","102679501810"
"001040","CJ","77700","80200","2500","3.22","600745","47203778200"
"079160","CJ CGV","21950","21400","-550","-2.51","4698777","98890088800"
"035760","CJ ENM","95800","100800","5000","5.22","1872629","187057384800"
"311690","CJ 바이오사이언스","31450","34500","3050","9.70","434449","14607829350"
"00104K","CJ4우(전환)","70400","71500","1100","1.56","157761","11071737000"
"000120","CJ대한통운","122000","126000","4000","3.28","1113019","129918424500"
"011150","CJ씨푸드","3190","3410","220","6.90","7053556","24038264425"
"011155","CJ씨푸드1우","29750","28550","-1200","-4.03","5054","142095550"
"001045","CJ우","48050","49600","1550","3.23","40952","1971431600"
"097950","CJ제일제당","389000","419500","30500","7.84","969590","392194336500"
"097955","CJ제일제당 우","165500","177000","11500","6.95","30736","5266661000"
"051500","CJ프레시웨이","39150","40600","1450","3.70","1787098","68383734250"
"058820","CMG제약","2620","2855","235","8.97","12377185","33902476680"
"023460","CNH","1795","1935","140","7.80","339775","635750640"
"056730","CNT85","3100","3100","0","0.00","0","0"
"065770","CS","2095","2220","125","5.97","4619678","10324091735"
"083660","CSA 코스믹","1525","1450","-75","-4.92","957164","1400996870"
"000590","CS홀딩스","59400","66500","7100","11.95","231075","15057787100"
"012030","DB","797","833","36","4.52","5318296","4319837241"
"404950","DB금융스팩10호","2100","2095","-5","-0.24","229012","483322700"
"367340","DB금융스팩8호","2135","2130","-5","-0.23","249157","528821720"
"367360","DB금융스팩9호","2155","2125","-30","-1.39","197265","417593585"
"016610","DB금융투자","5020","5240","220","4.38","671990","3373513760"
"005830","DB손해보험","58200","62800","4600","7.90","3206580","197254378155"
"000990","DB하이텍","49000","42900","-6100","-12.45","20486036","888819254050"
"000995","DB하이텍1우","93700","71100","-22600","-24.12","8669","703823900"
"139130","DGB금융지주","7790","7580","-210","-2.70","7805785","59334609310"
"001530","DI동일","16100","19950","3850","23.91","2038062","36033237250"
"000210","DL","67300","67900","600","0.89","2706519","179795442800"
"001880","DL건설","20750","22000","1250","6.02","447785","9541835450"
"000215","DL우","39100","39700","600","1.53","41594","1641299450"
"375500","DL이앤씨","40250","43900","3650","9.07","4780284","193594761850"
"37550L","DL이앤씨2우(전환)","34250","34950","700","2.04","47013","1600570450"
"37550K","DL이앤씨우","28550","29850","1300","4.55","68391","1968533800"
"068790","DMS","5050","5590","540","10.69","1201152","6451404075"
"007340","DN오토모티브","53000","56000","3000","5.66","411049","21925136350"
"004840","DRB동일","4520","4620","100","2.21","270375","1230758810"
"241520","DSC인베스트먼트","4180","4630","450","10.77","6330283","28994333995"
"155660","DSR","5400","6150","750","13.89","1674333","9564792010"
"069730","DSR제강","4795","5350","555","11.57","1243972","6222879225"
"017940","E1","44950","45200","250","0.56","188668","8311651000"
"245620","EDGC","3280","2835","-445","-13.57","44137663","150223110265"
"037370","EG","9200","10550","1350","14.67","804275","7946050310"
"278990","EMB","5490","5990","500","9.11","17863","90538320"
"365550","ESR켄달스퀘어리츠","5460","5520","60","1.10","5017244","26372985374"
"050120","ES큐브","3900","3840","-60","-1.54","786666","3069207095"
"084180","EV수성","1525","1370","-155","-10.16","22197673","32979104665"
"383220","F&F","138000","156500","18500","13.41","2721694","407064735500"
"007700","F&F홀딩스","18800","19800","1000","5.32","795522","15541648150"
"214270","FSN","4420","5050","630","14.25","21208257","111237732370"
"130500","GH신소재","4910","4960","50","1.02","30713115","171286245935"
"114090","GKL","13950","15000","1050","7.53","5024121","71202859250"
"900290","GRT","1240","1300","60","4.84","2698045","3443412350"
"078930","GS","39650","42850","3200","8.07","3837686","154572081350"
"083450","GST","21750","21800","50","0.23","1597608","35026224700"
"006360","GS건설","29550","32050","2500","8.46","15667652","462280342100"
"001250","GS글로벌","3240","3910","670","20.68","229856537","842310451605"
"007070","GS리테일","25500","25750","250","0.98","4901287","120531992500"
"078935","GS우","34550","34950","400","1.16","59003","2018331250"
"297890","HB솔루션","13100","13600","500","3.82","1158732","15434044400"
"078150","HB테크놀러지","1865","2030","165","8.85","13782841","27850248025"
"012630","HDC","6540","6950","410","6.27","1232103","8253885580"
"039570","HDC랩스","8460","8810","350","4.14","890109","8271685980"
"089470","HDC현대EP","3865","4250","385","9.96","435611","1763237170"
"294870","HDC현대산업개발","11450","13050","1600","13.97","6959957","82919682500"
"267250","HD현대","52900","58300","5400","10.21","3178592","171821260750"
"097230","HJ중공업","6800","6870","70","1.03","278117","1893452460"
"195940","HK이노엔","40150","43800","3650","9.09","12455920","531189011200"
"028300","HLB","40300","47800","7500","18.61","26063375","1143160449100"
"003580","HLB글로벌","10100","9680","-420","-4.16","13464191","131713235180"
"343090","HLB사이언스","4100","4180","80","1.95","320386","1244809835"
"067630","HLB생명과학","13000","14200","1200","9.23","26074142","348189342350"
"047920","HLB제약","15650","16550","900","5.75","7831856","119597292350"
"115450","HLB테라퓨틱스","13400","12100","-1300","-9.70","5132290","64139067100"
"011200","HMM","25100","25400","300","1.20","39409295","954740376150"
"036640","HRS","6190","6720","530","8.56","2678091","16947980490"
"082740","HSD엔진","7298","8700","1402","19.21","9067170","80509988080"
"335870","IBKS제12호스팩","2460","2880","420","17.07","6087832","15351418780"
"351340","IBKS제13호스팩","2030","2020","-10","-0.49","1339590","2762906440"
"388790","IBKS제16호스팩","2225","2225","0","0.00","0","0"
"405350","IBKS제17호스팩","2280","2270","-10","-0.44","458950","1052079215"
"003560","IHQ","719","726","7","0.97","11357984","8564229891"
"095340","ISC","32550","31350","-1200","-3.69","4489965","148190248200"
"099520","ITX-AI","1285","1285","0","0.00","0","0"
"175330","JB금융지주","7130","7370","240","3.37","5817649","42437960610"
"950170","JTC","2845","2690","-155","-5.45","658792","1773216845"
"234080","JW생명과학","13350","13700","350","2.62","271273","3691201700"
"067290","JW신약","3845","4140","295","7.67","8714492","35793085410"
"001060","JW중외제약","24050","23050","-1000","-4.16","1742640","42494840400"
"001067","JW중외제약2우B","70300","70500","200","0.28","2852","202825700"
"001065","JW중외제약우","36600","36550","-50","-0.14","5644","203467550"
"096760","JW홀딩스","3360","3455","95","2.83","705682","2439393675"
"035900","JYP Ent.","53400","57600","4200","7.87","8269223","463335593000"
"318000","KBG","5930","6600","670","11.30","1030705","6446928750"
"024840","KBI메탈","1715","1835","120","7.00","2624851","4725184695"
"105560","KB금융","47000","51400","4400","9.36","25542373","1213918827851"
"024120","KB오토시스","5620","5480","-140","-2.49","1315900","7126476600"
"002380","KCC","287500","307500","20000","6.96","772410","225411062500"
"021320","KCC건설","6870","7270","400","5.82","421706","2896963020"
"344820","KCC글라스","44800","49400","4600","10.27","494412","22795694900"
"036670","KCI","8190","8870","680","8.30","209918","1806388780"
"009070","KCTC","4460","5180","720","16.14","8288679","43608661230"
"009440","KC그린홀딩스","5020","4945","-75","-1.49","2666986","13055928005"
"112190","KC산업","3420","3695","275","8.04","15758","53561315"
"119650","KC코트렐","4230","4620","390","9.22","1189639","5274206505"
"044180","KD","1035","1075","40","3.86","1591798","1627265425"
"092220","KEC","2545","2725","180","7.07","44107123","119262407545"
"151860","KG ETS","15850","15750","-100","-0.63","27278594","418873524750"
"046440","KG모빌리언스","7130","7320","190","2.66","3762873","26294234000"
"016380","KG스틸","13150","12700","-450","-3.42","14610921","181892564850"
"035600","KG이니시스","13700","14150","450","3.28","2477737","33957780150"
"001390","KG케미칼","26100","29200","3100","11.88","7648375","216705972250"
"226360","KH 건설","919","868","-51","-5.55","171516322","151920039076"
"111870","KH 전자","753","814","61","8.10","34503295","26627109702"
"033180","KH 필룩스","1525","1510","-15","-0.98","17041947","25237090890"
"060720","KH바텍","18200","19500","1300","7.14","4491178","90473420700"
"001940","KISCO홀딩스","14050","14250","200","1.42","409114","5713981600"
"058400","KNN","1010","1070","60","5.94","7206249","7516556509"
"114450","KPX생명과학","5280","5610","330","6.25","26522251","170857773580"
"025000","KPX케미칼","47950","51400","3450","7.19","49756","2462274300"
"092230","KPX홀딩스","59600","60500","900","1.51","15296","913980600"
"000040","KR모터스","633","717","84","13.27","57436045","44577380064"
"044450","KSS해운","9650","10900","1250","12.95","687484","6888867430"
"030200","KT","36650","38500","1850","5.05","16033165","601822481325"
"033780","KT&G","80700","81200","500","0.62","5087501","414050804300"
"058850","KTcs","2015","2395","380","18.86","19626266","45161809180"
"058860","KTis","2595","2815","220","8.48","7388295","19825596950"
"060370","KT서브마린","6450","6980","530","8.22","13905530","94693860650"
"122450","KX","7690","7860","170","2.21","984068","7498771690"
"052900","KX하이텍","1380","1500","120","8.70","10257745","15316946850"
"093050","LF","16150","17000","850","5.26","947842","15709868900"
"003550","LG","78400","81600","3200","4.08","3563524","280676993000"
"034220","LG디스플레이","15250","16450","1200","7.87","28430194","434522392550"
"051900","LG생활건강","714000","742000","28000","3.92","1244952","923868832271"
"051905","LG생활건강우","330500","363500","33000","9.98","109357","38335436000"
"373220","LG에너지솔루션","388000","469500","81500","21.01","12427920","5091443836500"
"003555","LG우","61400","62800","1400","2.28","40658","2505399100"
"032640","LG유플러스","12300","12600","300","2.44","15654861","193126406808"
"011070","LG이노텍","338000","342000","4000","1.18","4873673","1679816234000"
"066570","LG전자","92000","96400","4400","4.78","13234443","1233827829200"
"066575","LG전자우","44800","47050","2250","5.02","396762","18134333300"
"037560","LG헬로비전","5610","5480","-130","-2.32","12394725","70081637320"
"051910","LG화학","540000","670000","130000","24.07","6109306","3547991919491"
"051915","LG화학우","254500","327000","72500","28.49","328233","92187310058"
"079550","LIG넥스원","69400","90200","20800","29.97","5622089","465782549300"
"006260","LS","55400","62100","6700","12.09","3061131","170152798600"
"010120","LS ELECTRIC","53200","58800","5600","10.53","3550303","194687114100"
"000680","LS네트웍스","2650","3135","485","18.30","1865975","5572662700"
"229640","LS전선아시아","6920","7370","450","6.50","5771951","42463038230"
"108320","LX세미콘","95500","93000","-2500","-2.62","4566291","428175027200"
"001120","LX인터내셔널","29600","33600","4000","13.51","5915872","184321324000"
"108670","LX하우시스","42100","45200","3100","7.36","530444","22750171900"
"108675","LX하우시스우","20400","21900","1500","7.35","64932","1308135200"
"383800","LX홀딩스","8950","8660","-290","-3.24","2942588","25505902600"
"38380K","LX홀딩스1우","12150","12250","100","0.82","67919","813983100"
"023150","MH에탄올","8550","9090","540","6.32","3313123","31559357070"
"035420","NAVER","249000","269000","20000","8.03","14909058","3761672520094"
"160550","NEW","7150","8490","1340","18.74","7339919","57660942420"
"053290","NE능률","5410","5650","240","4.44","20898250","135676238160"
"181710","NHN","27650","29400","1750","6.33","2253816","63793019700"
"104200","NHN벅스","9070","9260","190","2.09","6655679","63726642170"
"060250","NHN한국사이버결제","12850","13650","800","6.23","14079269","195345212500"
"400760","NH올원리츠","4540","4635","95","2.09","1099527","4900734880"
"005940","NH투자증권","9230","10050","820","8.88","12917511","122527677020"
"005945","NH투자증권우","9210","9920","710","7.71","732613","6958194210"
"338100","NH프라임리츠","4660","4670","10","0.21","621458","2856455755"
