종목코드,종목명,거래량_매도,거래량_매수,거래량_순매수,거래대금_매도,거래대금_매수,거래대금_순매수
"005930","삼성전자","2183928","2673756","489828","159739201691","195751679791","36012478100"
"402340","SK스퀘어","222871","448584","225713","12335286700","24859505900","12524219200"
"086790","하나금융지주","414678","648637","233959","21006104200","32832711600","11826607400"
"009150","삼성전기","144681","210437","65756","23899415000","34806195500","10906780500"
"207940","삼성바이오로직스","10722","24821","14099","8261389000","19107647000","10846258000"
"012330","현대모비스","60333","103594","43261","13599053463","23344036463","9744983000"
"055550","신한지주","507992","708860","200868","20590174300","28710408550","8120234250"
"090430","아모레퍼시픽","51013","90551","39538","9640988500","17134847000","7493858500"
"105560","KB금융","315826","425410","109584","19631282000","26496164300","6864882300"
"011070","LG이노텍","71563","92720","21157","22354227500","29014752000","6660524500"
"034020","두산중공업","714939","1069730","354791","13295142850","19882098500","6586955650"
"323410","카카오뱅크","511588","647553","135965","24390372000","30791066600","6400694600"
"033780","KT&G","83153","155186","72033","6679373300","12456435300","5777062000"
"005935","삼성전자우","338051","423772","85721","22512011400","28257034000","5745022600"
"316140","우리금융지주","962976","1338316","375340","13938339500","19334876150","5396536650"
"329180","현대중공업","35961","87523","51562","3660541300","8895470800","5234929500"
"000080","하이트진로","334809","460981","126172","12307477400","16926997000","4619519600"
"003550","LG","116890","177166","60276","8869884800","13434632900","4564748100"
"003220","대원제약","642712","841961","199249","12795834300","16768666950","3972832650"
"137310","에스디바이오센서","152508","225535","73027","7971953300","11749209000","3777255700"
"011780","금호석유","31099","54637","23538","4931002500","8688346000","3757343500"
"028670","팬오션","2134538","2694162","559624","13807963170","17397751810","3589788640"
"032640","LG유플러스","217246","488274","271028","2838311300","6386198350","3547887050"
"015760","한국전력","130332","285851","155519","2911199200","6397774300","3486575100"
"001120","LX인터내셔널","93853","205218","111365","2601539650","5646647250","3045107600"
"047810","한국항공우주","142296","234487","92191","4787516450","7829701800","3042185350"
"008770","호텔신라","51163","86491","35328","4145546900","7002194400","2856647500"
"018260","삼성에스디에스","26946","47528","20582","3730825000","6571490500","2840665500"
"117580","대성에너지","2012057","2271858","259801","23722938650","26557471600","2834532950"
"204320","만도","94332","148980","54648","4402089150","6947095700","2545006550"
"294870","HDC현대산업개발","88886","244706","155820","1390377500","3849007350","2458629850"
"010140","삼성중공업","1093516","1529190","435674","6093363780","8501200130","2407836350"
"005880","대한해운","1359752","2155591","795839","3691217505","5824536590","2133319085"
"028260","삼성물산","82160","101733","19573","8984738000","11106164000","2121426000"
"105630","한세실업","43654","137201","93547","961923150","3014646800","2052723650"
"069620","대웅제약","15003","26945","11942","2471877500","4429764000","1957886500"
"005940","NH투자증권","80091","240520","160429","932713650","2804691900","1871978250"
"249420","일동제약","1854786","1899992","45206","77939575450","79776287550","1836712100"
"161890","한국콜마","117630","154308","36678","5387171900","7120244600","1733072700"
"016360","삼성증권","101203","141053","39850","4249171050","5916784500","1667613450"
"161390","한국타이어앤테크놀로지","255949","303626","47677","8926395050","10593196300","1666801250"
"078930","GS","34636","75209","40573","1387741300","3011641550","1623900250"
